# Первоубиенный и лучший ход исторических игр, снятые с mafiauniverse (сентябрь 2026).
# Импорт истории принёс только ник/место/роль/итог, а ПУ и ЛХ там есть — без них у легаси-игр
# не считались ЛХ, Ci, «точность ЛХ», ачивки и рекорды.
#
# Формат: источник|дата|номер игры в источнике|место ПУ|места ЛХ|бонус ЛХ у них|ники по местам 1..10
# Состав стола — главный ключ сопоставления: дата и номер игры у источника и у нас могли разойтись
# (855 залит одной датой, у ночных игр дата зависит от часового пояса), а состав по местам
# совпадает однозначно. Дата — как в списке игр mafiauniverse (по ней собирался импорт вечеров).
# Бонус пустой — ЛХ не принёс очков. Игры без первоубиенного сюда не попали.
#
# 855 — Сезон 2022/2023; 893 — Сезон 2023/2024; 1355 — Стол для обучения и отдыха 2023/2024;
# 3557 — Сезон 2024/2025.
893|2023-09-17|9|6|2,5,1||Грейс;Клей;НЕ_ЛИС;Асмодея;Рождество;полинка эдельвейс 雨;Деканат;осиновый кол;Леди в шляпе;Rainbow
893|2023-09-09|8|9|2,7,1||НЕ_ЛИС;Рождество;Тайса;Деканат;Леди в шляпе;Кефтеме;fate;Амберман;полинка эдельвейс 雨;Асмодея
893|2023-09-09|7|10|2,6,7||Лиса;fate;Кауфман;Шмоки Мола;полинка эдельвейс 雨;Кефтеме;Мальчик с БПЭ;Ежик;Ямага;Рождество
893|2023-09-09|6|8|4,9,1|0.25|Тайса;Репудж;НЕ_ЛИС;Асмодея;Кауфман;Леди в шляпе;Кабан;Кефтеме;Шмоки Мола;Деканат
893|2023-09-03|4|8|3,7,9||Бант.;Дровосек;Амберман;Клей;осиновый кол;НЕ_ЛИС;Грейс;полинка эдельвейс 雨;Леди в шляпе;Асмодея
893|2023-09-03|3|9|1,2,5||Деканат;осиновый кол;Бант.;Амберман;Асмодея;Ямага;Леди в шляпе;Клей;НЕ_ЛИС;Грейс
893|2023-09-03|1|2|5,8,1||Грейс;Рома;Асмодея;Деканат;Клей;НЕ_ЛИС;Бант.;Дровосек;осиновый кол;Тайса
1355|2023-12-16|8|9|4,5,7||Hikaru;Амберман;Вельзевул;утренняя звезда;Олимпия;Бант.;Буханка;Кауфман;Троцкист;Лиса
1355|2023-12-16|7|5|6,1||Дед;Вельзевул;Оливка;Hikaru;Деканат;утренняя звезда;Троцкист;Буханка;Олимпия;Чай
1355|2023-12-16|6|3|4,6,7||Hikaru;Чай;Дед;Оливка;Деканат;утренняя звезда;Буханка;Вельзевул;Троцкист;Олимпия
1355|2023-12-02|5|8|9,4,7|0.25|Кауфман;Дед;Троцкист;Лучик;Вельзевул;Чай;Амберман;Олимпия;осиновый кол;Черный
1355|2023-12-02|4|9|1,2,3||осиновый кол;Чай;Вельзевул;Синабон;Кауфман;Олимпия;Лучик;Троцкист;Деканат;Амберман
1355|2023-12-02|1|7|3,6,4||Ямага;Вельзевул;Чай;Кауфман;Дед;Муха;Синабон;Лучик;Оливка;Буханка
3557|2025-06-14|174|7|5,8,1|0.5|Водолаз;Техноуж;Ная;Lulu;Гаруспик;Вспышка;НЕ_ЛИС;Математик;Органик;Аляска
3557|2025-06-14|173|3|6,9,1||Ная;Органик;Бант.;Вспышка;Lulu;Гаруспик;Аляска;Водолаз;Техноуж;Математик
3557|2025-06-09|172|5|8,9,1||Органик;Богомол;НЕ_ЛИС;Вспышка;Lulu;Ная;Чудо;Незнайка;Деканат;Водолаз
3557|2025-06-09|171|1|5,7,6||Чудо;Водолаз;Вспышка;Бант.;Ная;Вредина;Аляска;Элизабет Арден;Богомол;НЕ_ЛИС
3557|2025-06-09|170|4|1,2,9||Незнайка;Органик;Элизабет Арден;Ная;Дровосек;Бант.;Аляска;Чудо;НЕ_ЛИС;Lulu
3557|2025-06-09|169|5|1,7,1|0.25|Деканат;Элизабет Арден;Вспышка;Ная;Органик;Дровосек;Водолаз;Буханка;Богомол;Вредина
3557|2025-05-05|168|8|1,4,5||Варвара;Элизабет Арден;Органик;Чудо;Soya;НЕ_ЛИС;Киви;Дед;Техноуж;Ная
3557|2025-05-05|166|6|7,8,1||Буханка;Замир;Маргуша;Элизабет Арден;Техноуж;НЕ_ЛИС;Киви;Чудо;Lulu;Дед
3557|2025-05-05|165|4|1,3,1|0.25|Lulu;Дед;Техноуж;Замир;Киви;НЕ_ЛИС;Чудо;Маргуша;Деканат;Гаруспик
3557|2025-04-29|163|6|7,8,9|0.25|Сущность;Lulu;Аляска;Дед;Техноуж;Бант.;Водолаз;Вспышка;Ная;Чудо
3557|2025-04-29|162|6|5,7,1||Бант.;Буханка;Аляска;Дед;Ная;Чудо;Сущность;Улитка;Элизабет Арден;Вспышка
3557|2025-04-29|161|4|3,6,8||Аляска;Улитка;Водолаз;Бант.;Киви;Органик;Вспышка;Богомол;Техноуж;Деканат
3557|2025-04-29|160|7|1,8,1|0.25|Богомол;Улитка;Ная;Киви;Аляска;Чудо;Техноуж;Вспышка;Артем;Деканат
3557|2025-04-29|159|7|5,6,1||Киви;Чудо;Водолаз;Бант.;Улитка;Ная;Вспышка;Дед;Богомол;Аляска
3557|2025-04-29|158|6|3,5,8||Киви;Ная;Техноуж;Артём;Чудо;Аляска;Вспышка;Сущность;Бант.;Улитка
3557|2025-04-25|155|7|2,5,8||Буханка;Артём;Варвара;Ная;Математик;Призрак;Органик;Soya;Аляска;Лектер
3557|2025-04-25|154|2|5,7,8||Лектер;Soya;Киви;Артем;Мерседес;Дед;Аляска;Варвара;Техноуж;Призрак
3557|2025-04-25|153|4|5,7,1|0.25|Soya;Техноуж;Доджик;Киви;Математик;Варвара;Лектер;Мерседес;Элизабет Арден;Аляска
3557|2025-04-25|152|2|1,6,9||Аляска;Техноуж;Lulu;Органик;Элизабет Арден;Лектер;Soya;Киви;Математик;Доджик
3557|2025-04-25|151|9|2,3,6|0.25|Вельзевул;Особа;Вспышка;Lulu;Киви;Чудо;Математик;Soya;Варвара;Ная
3557|2025-04-25|150|10|4,8,6||Дровосек;Буханка;Неомения;Ная;Чудо;Органик;Вельзевул;Математик;Киви;осиновый кол
3557|2025-04-25|149|6|1,3,5||Ная;Призрак;Бант.;Аляска;Математик;Техноуж;Пират;Доджик;Вспышка;НЕ_ЛИС
3557|2025-04-25|148|5|4,6,8||Элизабет Арден;Органик;Призрак;Ная;Бант.;Пират;Аляска;WhiRav;НЕ_ЛИС;Доджик
3557|2025-04-25|147|3|5,8,1||Артем;Буханка;Вспышка;Бант.;Киви;Математик;Элизабет Арден;Аляска;Доджик;Техноуж
3557|2025-04-25|146|4|1,3,6||Математик;Хелхек;Бант.;Lulu;Аляска;НЕ_ЛИС;Вспышка;Элизабет Арден;Техноуж;Доджик
